1002	Canal Point Community Center	12860 U S Hwy 441	Canal Point, FL 33438	
3052	Our Savior Lutheran Church	1615 Lake Ave	Lake Worth Beach, FL 33460	
3058	Our Savior Lutheran Church	1615 Lake Ave	Lake Worth Beach, FL 33460	
3060	Our Savior Lutheran Church	1615 Lake Ave	Lake Worth Beach, FL 33460	
3062	Our Savior Lutheran Church	1615 Lake Ave	Lake Worth Beach, FL 33460	
3064	1st Congregational Church	1415 N K St	Lake Worth Beach, FL 33460	
3066	Our Savior Lutheran Church	1615 Lake Ave	Lake Worth Beach, FL 33460	
3068	St Andrews Episcopal	100 N Palmway	Lake Worth Beach, FL 33460	
3070	Mid County Senior Center	3680 Lake Worth Rd	Lake Worth, FL 33461	
3071	Holy Redeemer Church	3730 Kirk Rd	Palm Springs, FL 33461	
3072	Holy Redeemer Church	3730 Kirk Rd	Palm Springs, FL 33461	
3074	Coastal Chapel	1510 High Ridge Rd	Lake Worth, FL 33461	
3075	Lantana Recreation Center	418 S Dixie Hwy	Lantana, FL 33462	
3076	Our Savior Lutheran Church	1615 Lake Ave	Lake Worth Beach, FL 33460	
3078	Lakeside UM Church	1901 12Th Ave S	Lake Worth Beach, FL 33461	
3080	American Finnish Club	908 Lehto Ln	Lake Worth, FL 33461	
3082	Atlantis City Hall	260 Orange Tree Dr	Atlantis, FL 33462	
3084	Lakes of Sherbrooke	8130 Havasu Ct	Lake Worth, FL 33467	
3086	Woodlands Middle	5200 Lyons Rd	Lake Worth, FL 33467	
3088	Tradewinds Middle	5090 Haverhill Rd S	Greenacres, FL 33463	
3090	Woodlands Middle	5200 Lyons Rd	Lake Worth, FL 33467	
3092	Lacuna HOA Clubhouse	6410 Grand Lacuna Blvd	Lake Worth, FL 33467	
3094	Coral Reef Elementary	6151 Hagen Ranch Rd	Lake Worth, FL 33467	
3096	Coral Reef Elementary	6151 Hagen Ranch Rd	Lake Worth, FL 33467	
3098	Manatee Elementary	7001 Charleston Shore Blvd	Lake Worth, FL 33467	
3100	Journeys End	6400 Journeys End Blvd	Lake Worth, FL 33467	
3102	Diamond View Elementary	5300 Haverhill Rd	Greenacres, FL 33463	
3104	American German Club	5111 Lantana Rd	Lake Worth, FL 33463	
3106	American German Club	5111 Lantana Rd	Lake Worth, FL 33463	
3108	Santaluces High	6880 Lawrence Rd	Lantana, FL 33462	
3110	Lantana Road Branch Library	4020 Lantana Rd	Lake Worth, FL 33462	
3112	Starlight Cove Elementary	6300 Seminole Dr	Lantana, FL 33462	
3114	Santaluces High	6880 Lawrence Rd	Lantana, FL 33462	
3116	Advent Lantana	2116 W Lantana Rd	Lantana, FL 33462	
3118	Advent Lantana	2116 W Lantana Rd	Lantana, FL 33462	
3120	Valencia Shores Social Club	7751 Valencia Shores Dr	Lake Worth, FL 33467	
3122	Boynton Beach Community Church	9515 Boynton Beach Blvd	Boynton Beach, FL 33472	
3124	West Boynton Park and Rec	6000 Northtree Blvd	Lake Worth, FL 33463	
3126	Temple Shaarei Shalom	9085 Hagen Ranch Rd	Boynton Beach, FL 33472	
3128	West Boynton Park and Rec	6000 Northtree Blvd	Lake Worth, FL 33463	
3130	Winston Trails Swim Center	5980 Winston Trails Blvd	Lake Worth, FL 33463	
3132	Park Vista High	7900 Jog Rd	Lake Worth, FL 33467	
3133	Christa McAuliffe Middle	6500 Le Chalet Blvd	Boynton Beach, FL 33472	
3134	Hidden Oaks Elementary	7685 S Military Trl	Lake Worth, FL 33463	
3136	Freedom Shores Elementary	3400 Hypoluxo Rd	Boynton Beach, FL 33436	
3138	Citrus Cove Elementary	8400 Lawrence Rd	Boynton Beach, FL 33436	
3140	Boynton Lakes North Clubhouse	100 Redford Dr	Boynton Beach, FL 33426	
3142	Boynton Lakes North Clubhouse	100 Redford Dr	Boynton Beach, FL 33426	
3144	Freedom Shores Elementary	3400 Hypoluxo Rd	Boynton Beach, FL 33436	
3146	Freedom Shores Elementary	3400 Hypoluxo Rd	Boynton Beach, FL 33436	
3148	Imagine Schools - Chancellor	3333 High Ridge Rd	Boynton Beach, FL 33426	
3150	Christa McAuliffe Middle	6500 Le Chalet Blvd	Boynton Beach, FL 33472	
3152	Park Vista High	7900 Jog Rd	Lake Worth, FL 33467	
3154	Ponte Vecchio Clubhouse	7050 Catania Dr	Boynton Beach, FL 33472	
3156	Aberdeen East Clubhouse	5700 Le Chalet Blvd	Boynton Beach, FL 33472	
3158	Crystal Lakes Elementary	6050 Gateway Blvd	Boynton Beach, FL 33437	
3160	Christa McAuliffe Middle	6500 Le Chalet Blvd	Boynton Beach, FL 33472	
3162	Hidden Oaks Elementary	7685 S Military Trl	Lake Worth, FL 33463	
3164	Citrus Cove Elementary	8400 Lawrence Rd	Boynton Beach, FL 33436	
3166	Jamaica Bay Clubhouse	31005 Jamaica Bay Dr	Boynton Beach, FL 33436	
3168	Boynton Beach Fire Station #3	3501 N Congress Ave	Boynton Beach, FL 33426	
3170	Boynton Beach High	4975 Park Ridge Blvd	Boynton Beach, FL 33426	
3172	Boynton Beach High	4975 Park Ridge Blvd	Boynton Beach, FL 33426	
3174	Boynton Beach Fire Station #3	3501 N Congress Ave	Boynton Beach, FL 33426	
3176	Boynton Beach High	4975 Park Ridge Blvd	Boynton Beach, FL 33426	
3180	Imagine Schools - Chancellor	3333 High Ridge Rd	Boynton Beach, FL 33426	
3182	Imagine Schools - Chancellor	3333 High Ridge Rd	Boynton Beach, FL 33426	
3186	Christ Fellowship Church BB	801 N Congress Ave	Boynton Beach, FL 33426	
3187	Christ Fellowship Church BB	801 N Congress Ave	Boynton Beach, FL 33426	
3188	Christ Fellowship Church BB	801 N Congress Ave	Boynton Beach, FL 33426	
3190	Imagine Schools - Chancellor	3333 High Ridge Rd	Boynton Beach, FL 33426	
3192	Leisureville #1 Clubhouse	1007 Ocean Dr	Boynton Beach, FL 33426	
3194	Boynton Beach Fire Station #2	2615 W Woolbright Rd	Boynton Beach, FL 33436	
3196	Leisureville #3 Clubhouse	2001 SW 13th Ave	Boynton Beach, FL 33426	
3198	BB Leisureville Clubhouse	1807 SW 18Th St	Boynton Beach, FL 33426	
3200	Golfview Harbour Clubhouse	2775 SW 14Th St	Boynton Beach, FL 33426	
3202	Golfview Harbour Clubhouse	2775 SW 14Th St	Boynton Beach, FL 33426	
4002	Lantana Recreation Center	418 S Dixie Hwy	Lantana, FL 33462	
4004	South Palm Beach Town Hall	3577 S Ocean Blvd	South Palm Beach, FL 33480	
4006	Manalapan Town Hall	600 S Ocean Blvd	Manalapan, FL 33462	
4008	Hypoluxo Town Hall	7580 S Federal Hwy	Hypoluxo, FL 33462	
4010	Bent Tree Villas East	4450 Pear Tree Cir	Boynton Beach, FL 33436	
4012	Greentree Villas	4685 Greentree Ln	Boynton Beach, FL 33436	
4014	New Church	10621 El Clair Ranch Rd	Boynton Beach, FL 33437	
4016	Christ Fellowship Church BB	801 N Congress Ave	Boynton Beach, FL 33426	
4018	Quail Ridge Business Center	3715 Golf Rd	Boynton Beach, FL 33436	
4020	Christ Fellowship Church BB	801 N Congress Ave	Boynton Beach, FL 33426	
4022	Congress Middle	101 S Congress Ave	Boynton Beach, FL 33426	
4024	Harvey E Oyer Jr Park	2010 N Federal Hwy	Boynton Beach, FL 33435	
4026	Sterling Village Aud	500 S Federal Hwy	Boynton Beach, FL 33435	
4028	Ocean Ridge Town Hall	6450 N Ocean Blvd	Ocean Ridge, FL 33435	
4030	Village of Golf Admin Bldg	21 Country Rd	Village Of Golf, FL 33436	
4034	Crosspointe Elementary	3015 S Congress Ave	Boynton Beach, FL 33426	
4036	Forest Park Elementary	1201 SW 3rd St	Boynton Beach, FL 33435	
4038	Briny Breezes Community Center	5000 N Ocean Blvd	Briny Breezes, FL 33435	
4040	Briny Breezes Community Center	5000 N Ocean Blvd	Briny Breezes, FL 33435	
4042	Briny Breezes Community Center	5000 N Ocean Blvd	Briny Breezes, FL 33435	
4044	Briny Breezes Community Center	5000 N Ocean Blvd	Briny Breezes, FL 33435	
4046	Delray Dunes	12005 Dunes Rd	Boynton Beach, FL 33436	
4048	Banyan Creek Elementary	4243 Sabal Lakes Rd	Delray Beach, FL 33445	
4050	Hunter's Run Courtside Cafe	3500 Clubhouse Ln	Boynton Beach, FL 33436	
4052	Crosspointe Elementary	3015 S Congress Ave	Boynton Beach, FL 33426	
4053	Crosspointe Elementary	3015 S Congress Ave	Boynton Beach, FL 33426	
4054	Lakeview Baptist Church	2599 N Swinton Ave	Delray Beach, FL 33444	
4056	Lakeview Baptist Church	2599 N Swinton Ave	Delray Beach, FL 33444	
4058	Plumosa SOA Elementary	2501 Seacrest Blvd	Delray Beach, FL 33444	
4060	Lakeview Baptist Church	2599 N Swinton Ave	Delray Beach, FL 33444	
4062	Lakeview Baptist Church	2599 N Swinton Ave	Delray Beach, FL 33444	
4064	Seacrest Presbyterian	2703 N Seacrest Blvd	Delray Beach, FL 33444	
4066	Seacrest Presbyterian	2703 N Seacrest Blvd	Delray Beach, FL 33444	
4068	Seacrest Presbyterian	2703 N Seacrest Blvd	Delray Beach, FL 33444	
4070	Seacrest Presbyterian	2703 N Seacrest Blvd	Delray Beach, FL 33444	
4072	Gulf Stream Town Hall	100 Sea Rd	Gulf Stream, FL 33483	
4074	Plumosa SOA Elementary	2501 Seacrest Blvd	Delray Beach, FL 33444	
4076	Country Manors Clubhouse	4900 Country Manors Blvd	Delray Beach, FL 33445	
4078	Banyan Creek Elementary	4243 Sabal Lakes Rd	Delray Beach, FL 33445	
4080	Banyan Creek Elementary	4243 Sabal Lakes Rd	Delray Beach, FL 33445	
4082	Banyan Creek Elementary	4243 Sabal Lakes Rd	Delray Beach, FL 33445	
4084	Banyan Creek Elementary	4243 Sabal Lakes Rd	Delray Beach, FL 33445	
4086	Banyan Creek Elementary	4243 Sabal Lakes Rd	Delray Beach, FL 33445	
4088	West Park Baptist Church	4004 Lake Ida Rd	Delray Beach, FL 33445	
4090	Pines of Delray North	1641 NW 18Th Ave	Delray Beach, FL 33445	
4092	West Park Baptist Church	4004 Lake Ida Rd	Delray Beach, FL 33445	
4094	S D Spady Elementary	901 NW 3Rd St	Delray Beach, FL 33444	
4096	Carver Middle	101 Barwick Rd	Delray Beach, FL 33445	
4098	Bethel Evangelical Baptist	5780 W Atlantic Ave	Delray Beach, FL 33484	
4100	Carver Middle	101 Barwick Rd	Delray Beach, FL 33445	
4102	Veterans Park Recreation Ctr	802 NE 1St St	Delray Beach, FL 33483	
4104	Emmanuel Catholic Church	15700 S Military Trl	Delray Beach, FL 33484	
4106	Delray Beach Golf Club	2200 Highland Ave	Delray Beach, FL 33445	
4108	Pines of Delray East	2451 Black Olive Blvd	Delray Beach, FL 33445	
4110	505 Club	505 SE 5th Ave	Delray Beach, FL 33483	
4112	Veterans Park Recreation Ctr	802 NE 1St St	Delray Beach, FL 33483	
4114	Delray Beach First Baptist	16333 S Military Trl	Delray Beach, FL 33484	
4116	Orchard View Elementary	4050 Germantown Rd	Delray Beach, FL 33445	
4118	Orchard View Elementary	4050 Germantown Rd	Delray Beach, FL 33445	
4120	Orchard View Elementary	4050 Germantown Rd	Delray Beach, FL 33445	
4122	Delray Beach Swim and Tennis	2350 Jaeger Dr	Delray Beach, FL 33444	
4124	Delray Beach Swim and Tennis	2350 Jaeger Dr	Delray Beach, FL 33444	
4126	Pine Grove Elementary	400 SW 10th St	Delray Beach, FL 33444	
4128	St Lucy Catholic Church	3510 S Ocean Blvd	Highland Beach, FL 33487	
4129	St Lucy Catholic Church	3510 S Ocean Blvd	Highland Beach, FL 33487	
4130	Omni Middle	5775 Jog Rd	Boca Raton, FL 33496	
4132	Calusa Elementary	2051 Clint Moore Rd	Boca Raton, FL 33496	
4134	Above and Beyond Community Church	7500 E Country Club Blvd	Boca Raton, FL 33487	
4136	Above and Beyond Community Church	7500 E Country Club Blvd	Boca Raton, FL 33487	
4138	Ascension Catholic Church	7250 N Federal Hwy	Boca Raton, FL 33487	
4140	Broken Sound Club	2401 Willow Springs Dr	Boca Raton, FL 33496	
4142	Woodfield Country Club HOA	3630 Club Pl	Boca Raton, FL 33496	
4144	Seasons HOA Clubhouse	6450 NW 30th Ave	Boca Raton, FL 33496	
4146	Broken Sound Club	2401 Willow Springs Dr	Boca Raton, FL 33496	
4148	Broken Sound Club	2401 Willow Springs Dr	Boca Raton, FL 33496	
4150	Patch Reef Park Community Center	2000 Yamato Rd	Boca Raton, FL 33431	
4152	Boca Delray Lodge #171	4093 NW 4th Ave	Boca Raton, FL 33431	
4154	Ascension Catholic Church	7250 N Federal Hwy	Boca Raton, FL 33487	
4156	St Lucy Catholic Church	3510 S Ocean Blvd	Highland Beach, FL 33487	
4158	Spanish River High	5100 Jog Rd	Boca Raton, FL 33496	
4160	First Baptist Church BR	2350 Yamato Rd	Boca Raton, FL 33431	
4162	Patch Reef Park Community Center	2000 Yamato Rd	Boca Raton, FL 33431	
4164	Safe Schools Institute	1790 NW Spanish River Blvd	Boca Raton, FL 33431	
4166	FAU Arena Lobby	777 Glades Rd	Boca Raton, FL 33431	
4168	JC Mitchell Elementary	2470 NW 5th Ave	Boca Raton, FL 33431	
4170	Spanish River Library	1501 Spanish River Blvd	Boca Raton, FL 33431	
4172	Marine Safety Headquarters	3939 N Ocean Blvd	Boca Raton, FL 33431	
4174	Sugar Sand Park Comm Center	300 S Military Trl	Boca Raton, FL 33486	
4176	Sugar Sand Park Comm Center	300 S Military Trl	Boca Raton, FL 33486	
4178	Sugar Sand Park Comm Center	300 S Military Trl	Boca Raton, FL 33486	
4180	Del Prado Elementary	7900 Del Prado Cir	Boca Raton, FL 33433	
4182	Greater BR Swim & Racquet Ctr	21618 St Andrews Blvd	Boca Raton, FL 33433	
4184	Boca Raton Middle	1251 NW 8th St	Boca Raton, FL 33486	
4186	The Volen Center	1515 W Palmetto Park Rd	Boca Raton, FL 33486	
4188	Elks Lodge of Boca Raton	1395 N Federal Hwy	Boca Raton, FL 33432	
4190	St Gregory Episcopal Church	100 NE Mizner Blvd	Boca Raton, FL 33432	
4192	Verde K-8 School	6590 Verde Trl	Boca Raton, FL 33433	
4194	Del Prado Elementary	7900 Del Prado Cir	Boca Raton, FL 33433	
4196	Good Shepherd Lutheran	6301 SW 18Th St	Boca Raton, FL 33433	
4198	Verde K-8 School	6590 Verde Trl	Boca Raton, FL 33433	
4200	Verde K-8 School	6590 Verde Trl	Boca Raton, FL 33433	
4202	Greater BR Swim & Racquet Ctr	21618 St Andrews Blvd	Boca Raton, FL 33433	
4204	Sugar Sand Park Comm Center	300 S Military Trl	Boca Raton, FL 33486	
4206	Good Shepherd Lutheran	6301 SW 18Th St	Boca Raton, FL 33433	
4208	Hammock Pointe Elementary	8400 SW 8th St	Boca Raton, FL 33433	
4210	Sugar Sand Park Comm Center	300 S Military Trl	Boca Raton, FL 33486	
4212	Center for Spiritual Living	2 SW 12Th Ave	Boca Raton, FL 33486	
4214	Calvary Chapel Boca Raton - 4th-5th Grade Room	1551 W Camino Real	Boca Raton, FL 33486	
4216	Calvary Chapel Boca Raton - King's Kids Room	1551 W Camino Real	Boca Raton, FL 33486	
4218	Grace Community Church	600 W Camino Real	Boca Raton, FL 33486	
4220	Boca Raton Community Center	150 Crawford Blvd	Boca Raton, FL 33432	
4222	Boca Raton Downtown Library	400 NW 2nd Ave	Boca Raton, FL 33432	
4224	Grace Community Church	600 W Camino Real	Boca Raton, FL 33486	
4226	St Gregory Episcopal Church	100 NE Mizner Blvd	Boca Raton, FL 33432	
4228	Boca Raton Community Center	150 Crawford Blvd	Boca Raton, FL 33432	
4230	Boca Raton Downtown Library	400 NW 2nd Ave	Boca Raton, FL 33432	
5002	Faith Farm Tabernacle	9538 U S Hwy 441	Boynton Beach, FL 33472	
5003	Faith Farm Tabernacle	9538 U S Hwy 441	Boynton Beach, FL 33472	
5004	Faith Farm Tabernacle	9538 U S Hwy 441	Boynton Beach, FL 33472	
5005	Sunset Palms Elementary	8650 Boynton Beach Blvd	Boynton Beach, FL 33472	
5006	Faith Farm Tabernacle	9538 U S Hwy 441	Boynton Beach, FL 33472	
5007	Faith Farm Tabernacle	9538 U S Hwy 441	Boynton Beach, FL 33472	
5008	Sunset Palms Elementary	8650 Boynton Beach Blvd	Boynton Beach, FL 33472	
5009	Boynton Beach Community Church	9515 Boynton Beach Blvd	Boynton Beach, FL 33472	
5010	Temple Shaarei Shalom	9085 Hagen Ranch Rd	Boynton Beach, FL 33472	
5012	The Grove Clubhouse	9697 Orchid Grove Trl	Boynton Beach, FL 33437	
5014	West Boynton Branch Library	9451 Jog Rd	Boynton Beach, FL 33437	
5016	Faith United Methodist Church	6340 W Boynton Beach Blvd	Boynton Beach, FL 33437	
5018	Platina Clubhouse	9640 Platina Ave	Boynton Beach, FL 33437	
5020	Hagen Road Elementary	10565 Hagen Ranch Rd	Boynton Beach, FL 33437	
5022	Hagen Road Elementary	10565 Hagen Ranch Rd	Boynton Beach, FL 33437	
5024	Valencia Lakes HOA	11600 Valencia Lakes Blvd	Boynton Beach, FL 33437	
5026	Faith United Methodist Church	6340 W Boynton Beach Blvd	Boynton Beach, FL 33437	
5028	South Tech Academy	6161 Woolbright Rd	Boynton Beach, FL 33437	
5030	West Boynton Branch Library	9451 Jog Rd	Boynton Beach, FL 33437	
5032	New Church	10621 El Clair Ranch Rd	Boynton Beach, FL 33437	
5034	Valencia Lakes HOA	11600 Valencia Lakes Blvd	Boynton Beach, FL 33437	
5036	Valencia Isles Social Hall	11200 Valencia Isles Blvd	Boynton Beach, FL 33437	
5038	The Cascades Clubhouse	6601 Cascades Isle Blvd	Boynton Beach, FL 33437	
5040	New Church	10621 El Clair Ranch Rd	Boynton Beach, FL 33437	
5042	South Tech Academy	6161 Woolbright Rd	Boynton Beach, FL 33437	
5044	Cascade Lakes Clubhouse	5075 Cascade Lakes Blvd	Boynton Beach, FL 33437	
5046	Green Cay Nature Center	12800 Hagen Ranch Rd	Boynton Beach, FL 33437	
5048	Coral Lakes Clubhouse	12751 El Clair Ranch Rd	Boynton Beach, FL 33437	
5050	Coral Lakes Clubhouse	12751 El Clair Ranch Rd	Boynton Beach, FL 33437	
5052	Lake Worth Drainage District	13081 S Military Trl	Delray Beach, FL 33484	
5054	Our Lady Queen of Peace	9600 W Atlantic Ave	Delray Beach, FL 33446	
5055	Our Lady Queen of Peace	9600 W Atlantic Ave	Delray Beach, FL 33446	
5056	Hagen Ranch Road Library	14350 Hagen Ranch Rd	Delray Beach, FL 33446	
5058	Valencia Falls Clubhouse	13375 Valencia Grand Blvd	Delray Beach, FL 33446	
5060	Hagen Ranch Road Library	14350 Hagen Ranch Rd	Delray Beach, FL 33446	
5062	Villa Borghese Clubhouse	6750 Via Villa Borghe	Delray Beach, FL 33446	
5064	Huntington Lakes Clubhouse	7355 Huntington Ln	Delray Beach, FL 33446	
5066	Abbey Village Clubhouse	6294 Abbey Ln	Delray Beach, FL 33446	
5068	Camelot Village Clubhouse	6610 Moonlit Dr	Delray Beach, FL 33446	
5070	Delray Villas	13773 Circular Dr	Delray Beach, FL 33484	
5072	Huntington Pointe Clubhouse	6251 N Oriole Blvd	Delray Beach, FL 33484	
5074	Coco Wood Clubhouse	6269 W Atlantic Ave	Delray Beach, FL 33484	
5076	Palm Greens Clubhouse	5801 Via Delray Blvd	Delray Beach, FL 33484	
5078	Bethel Evangelical Baptist	5780 W Atlantic Ave	Delray Beach, FL 33484	
5080	Bethel Evangelical Baptist	5780 W Atlantic Ave	Delray Beach, FL 33484	
5082	Bethel Evangelical Baptist	5780 W Atlantic Ave	Delray Beach, FL 33484	
5084	High Point Section II	14425 Canalview Dr	Delray Beach, FL 33484	
5086	Carver Middle	101 Barwick Rd	Delray Beach, FL 33445	
5088	Carver Middle	101 Barwick Rd	Delray Beach, FL 33445	
5090	Gleneagles CC-Strathearn Sat	15390 Strathearn Dr	Delray Beach, FL 33446	
5092	Gleneagles CC-Clunie Satellite	7332 Clunie Pl	Delray Beach, FL 33446	
5094	Kings Point Clubhouse	7000 W Atlantic Ave	Delray Beach, FL 33446	
5096	Monaco Clubhouse	6570 Monaco Blvd	Delray Beach, FL 33446	
5098	Lakes of Delray Clubhouse	15055 Lakes of Delray Blvd	Delray Beach, FL 33484	
5100	Kings Point Flanders	6561 Flanders Way	Delray Beach, FL 33484	
5102	Lakes of Delray Clubhouse	15055 Lakes of Delray Blvd	Delray Beach, FL 33484	
5104	Kings Point Flanders	6561 Flanders Way	Delray Beach, FL 33484	
5106	Las Verdes Clubhouse	5121 Las Verdes Cir	Delray Beach, FL 33484	
5108	West Boca Branch Library	18685 State Road 7	Boca Raton, FL 33498	
5110	South County Civic Center	16700 Jog Rd	Delray Beach, FL 33446	
5111	Morikami Park Elementary	6201 Morikami Park Rd	Delray Beach, FL 33484	
5112	Morikami Park Elementary	6201 Morikami Park Rd	Delray Beach, FL 33484	
5113	Morikami Park Elementary	6201 Morikami Park Rd	Delray Beach, FL 33484	
5114	South County Civic Center	16700 Jog Rd	Delray Beach, FL 33446	
5115	Spanish River High	5100 Jog Rd	Boca Raton, FL 33496	
5116	The Polo Club of Boca Raton	5400 Champion Blvd	Boca Raton, FL 33496	
5117	The Polo Club of Boca Raton	5400 Champion Blvd	Boca Raton, FL 33496	
5118	South County Civic Center	16700 Jog Rd	Delray Beach, FL 33446	
5119	The Polo Club of Boca Raton	5400 Champion Blvd	Boca Raton, FL 33496	
5120	Delray Beach First Baptist	16333 S Military Trl	Delray Beach, FL 33484	
5122	Delray Beach First Baptist	16333 S Military Trl	Delray Beach, FL 33484	
5124	Delray Beach First Baptist	16333 S Military Trl	Delray Beach, FL 33484	
5126	Boca Delray Clubhouse	5483 Boca Delray Blvd	Delray Beach, FL 33484	
5128	Sunrise Park Elementary	19400 Coral Ridge Dr	Boca Raton, FL 33498	
5130	Coconut Cove Waterpark - Meeting Room A	20130 Regional Park Dr	Boca Raton, FL 33498	
5132	Eagles Landing Middle	19500 Coral Ridge Dr	Boca Raton, FL 33498	
5134	Coconut Cove Waterpark - Meeting Room B	20130 Regional Park Rd	Boca Raton, FL 33498	
5136	West Boca Branch Library	18685 State Road 7	Boca Raton, FL 33498	
5138	Whispering Pines Elementary	9090 Spanish Isles Blvd	Boca Raton, FL 33496	
5140	Olympic Heights High	20101 Lyons Rd	Boca Raton, FL 33434	
5142	Whispering Pines Elementary	9090 Spanish Isles Blvd	Boca Raton, FL 33496	
5144	Whisper Walk Section B	8690 Flamingo Dr	Boca Raton, FL 33496	
5146	Century Village West	19296 Lyons Rd	Boca Raton, FL 33434	
5148	Century Village West	19296 Lyons Rd	Boca Raton, FL 33434	
5150	Century Village West	19296 Lyons Rd	Boca Raton, FL 33434	
5152	West Boca Raton High	12811 Glades Rd	Boca Raton, FL 33498	
5154	Daggerwing Nature Center	11435 Park Access Rd	Boca Raton, FL 33498	
5156	Southwinds Golf Course	19557 Lyons Rd	Boca Raton, FL 33434	
5158	Boca West Country Club	20583 Boca West Dr	Boca Raton, FL 33434	
5160	Boca West Country Club	20583 Boca West Dr	Boca Raton, FL 33434	
5162	Glades Presbyterian Church	21121 Judge Winikoff Rd	Boca Raton, FL 33428	
5164	Sandpiper Shores Elementary	11201 Glades Rd	Boca Raton, FL 33498	
5166	Glades Road Branch Library	20701 95th Ave S	Boca Raton, FL 33434	
5168	Glades Road Branch Library	20701 95th Ave S	Boca Raton, FL 33434	
5170	Olympic Heights High	20101 Lyons Rd	Boca Raton, FL 33434	
5172	Del Prado Elementary	7900 Del Prado Cir	Boca Raton, FL 33433	
5174	Waters Edge Elementary	21601 Shorewind Dr	Boca Raton, FL 33428	
5176	Loggers Run Middle	11584 W Palmetto Park Rd	Boca Raton, FL 33428	
5178	Loggers Run Middle	11584 W Palmetto Park Rd	Boca Raton, FL 33428	
5180	Boca Glades Baptist Church	10101 Judge Winikoff Rd	Boca Raton, FL 33428	
5182	Boca Glades Baptist Church	10101 Judge Winikoff Rd	Boca Raton, FL 33428	
5184	Coral Sunset Elementary	22400 Hammock St	Boca Raton, FL 33428	
5186	Coral Sunset Elementary	22400 Hammock St	Boca Raton, FL 33428	
5188	Pines Of Boca Barwood	23380 Barwood Ln S	Boca Raton, FL 33428	
5190	Lakes at Boca Rio Clubhouse	8170 Boca Rio Dr	Boca Raton, FL 33433	
5192	Hammock Pointe Elementary	8400 SW 8th St	Boca Raton, FL 33433	
5194	Lakes Of Boca Barwood	23270 Barlake Dr	Boca Raton, FL 33433	
6002	Canal Point Community Center	12860 U S Hwy 441	Canal Point, FL 33438	
6004	Pahokee Recreation Center	360 E Main St	Pahokee, FL 33476	
6006	Pahokee Recreation Center	360 E Main St	Pahokee, FL 33476	
6008	Pahokee High	900 Larrimore Rd	Pahokee, FL 33476	
6010	Canal Point Community Center	12860 U S Hwy 441	Canal Point, FL 33438	
6012	Belle Glade Library/Civic Ctr	725 NW 4th St	Belle Glade, FL 33430	
6014	Belle Glade Library/Civic Ctr	725 NW 4th St	Belle Glade, FL 33430	
6016	South Bay Commission Chambers	335 SW 2nd Ave	South Bay, FL 33493	
6018	South Bay Commission Chambers	335 SW 2nd Ave	South Bay, FL 33493	
6020	Glades Central High	1001 SW Avenue M	Belle Glade, FL 33430	
6022	Belle Glade Library/Civic Ctr	725 NW 4th St	Belle Glade, FL 33430	
6024	Lewis Evans Resource Center	1224 SW Avenue E	Belle Glade, FL 33430	
6026	Lewis Evans Resource Center	1224 SW Avenue E	Belle Glade, FL 33430	
6028	Belle Glade Library/Civic Ctr	725 NW 4th St	Belle Glade, FL 33430	
6029	Belle Glade Library/Civic Ctr	725 NW 4th St	Belle Glade, FL 33430	
6030	Belle Glade Library/Civic Ctr	725 NW 4th St	Belle Glade, FL 33430	
6032	Gove Elementary	1000 SE Avenue G	Belle Glade, FL 33430	
6034	Gove Elementary	1000 SE Avenue G	Belle Glade, FL 33430	
6036	Gove Elementary	1000 SE Avenue G	Belle Glade, FL 33430	
6038	South Bay Commission Chambers	335 SW 2nd Ave	South Bay, FL 33493	
6040	Osceola Creek Middle	6775 180th Ave N	Loxahatchee, FL 33470	
6042	Osceola Creek Middle	6775 180th Ave N	Loxahatchee, FL 33470	
6044	Frontier Elementary	6701 180th Ave N	Loxahatchee, FL 33470	
6045	Acreage Branch Library	15801 Orange Blvd	Loxahatchee, FL 33470	
6046	Pierce Hammock Elementary	14255 Hamlin Blvd	Loxahatchee, FL 33470	
6048	Pierce Hammock Elementary	14255 Hamlin Blvd	Loxahatchee, FL 33470	
6050	Acreage Branch Library	15801 Orange Blvd	Loxahatchee, FL 33470	
6051	Cornerstone Fellowship	13969 Orange Blvd	West Palm Beach, FL 33412	
6052	Seminole Ridge High	4601 Seminole Pratt Whitney Rd	Westlake, FL 33470	
6054	Acreage Pines Elementary	14200 Orange Blvd	Loxahatchee, FL 33470	
6056	Pierce Hammock Elementary	14255 Hamlin Blvd	Loxahatchee, FL 33470	
6058	Acreage Pines Elementary	14200 Orange Blvd	Loxahatchee, FL 33470	
6060	Indian Trail Improvement Dist	13476 61st St N	West Palm Beach, FL 33412	
6062	Sandhill Crane Golf Club	11401 Northlake Blvd	Palm Beach Gardens, FL 33412	
6064	Sandhill Crane Golf Club	11401 Northlake Blvd	Palm Beach Gardens, FL 33412	
6066	Ibis POA Admin Building	9055 Ibis Blvd	West Palm Beach, FL 33412	
6068	Ibis POA Admin Building	9055 Ibis Blvd	West Palm Beach, FL 33412	
6070	Ironhorse Country Club	8055 Ironhorse Blvd	West Palm Beach, FL 33412	
6072	Seminole Ridge High	4601 Seminole Pratt Whitney Rd	Westlake, FL 33470	
6073	Seminole Ridge High	4601 Seminole Pratt Whitney Rd	Westlake, FL 33470	
6076	Western Pines Middle	5949 140th Ave N	Westlake, FL 33411	
